ordinal{string},comment{string},originator{string},norad_cat_id{string},object_name{string},object_type{string},classification_type{string},intldes{string},epoch{timestamp},epoch_microseconds{integer},mean_motion{decimal},eccentricity{decimal},inclination{decimal},ra_of_asc_node{decimal},arg_of_pericenter{decimal},mean_anomaly{decimal},ephemeris_type{string},element_set_no{string},rev_at_epoch{integer},bstar{decimal},mean_motion_dot{decimal},mean_motion_ddot{string},file{string},tle_line0{string},tle_line1{string},tle_line2{string},object_id{string},object_number{string},semimajor_axis{decimal},period{decimal},apogee{decimal},perigee{decimal}
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,20510,OKEAN 2,PAYLOAD,U,90018A,2019-02-21T18:28:05Z,733120,14.9927406100000002,0.00136739999999999995,82.5160999999999945,301.154800000000023,68.4222000000000037,354.188800000000015,0,999,57352,2.71740000000000011e-05,3.59999999999999984e-06,0,2414066,0 OKEAN 2,1 20510U 90018A   19052.76951080  .00000360  00000-0  27174-4 0  9993,2 20510  82.5161 301.1548 0013674  68.4222 354.1888 14.99274061573522,1990-018A,20510,6947.27400000000034,96.0460000000000065,578.63900000000001,559.639999999999986
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,41337,ASTRO H,PAYLOAD,U,16012A,2019-02-21T18:28:12Z,523296,14.9855021300000004,0.00125209999999999991,31.0045999999999999,183.53309999999999,350.977199999999982,9.06359999999999921,0,999,16518,1.24869999999999992e-05,2.38999999999999999e-06,0,2414060,0 ASTRO H,1 41337U 16012A   19052.76958939  .00000239  00000-0  12487-4 0  9991,2 41337  31.0046 183.5331 0012521 350.9772   9.0636 14.98550213165185,2016-012A,41337,6949.51100000000042,96.0919999999999987,580.077999999999975,562.674999999999955
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,11060,TIROS N,PAYLOAD,U,78096A,2019-02-21T18:28:21Z,21600,14.1822457899999996,0.00108970000000000009,98.807699999999997,111.1233,29.1507000000000005,331.0274,0,999,30009,2.83590000000000007e-05,1.4000000000000001e-07,0,2414137,0 TIROS N,1 11060U 78096A   19052.76968775  .00000014  00000-0  28359-4 0  9996,2 11060  98.8077 111.1233 0010897  29.1507 331.0274 14.18224579300095,1978-096A,11060,7209.5,101.534999999999997,839.221000000000004,823.509000000000015
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,26402,ECHOSTAR 6,PAYLOAD,U,00038A,2019-02-21T18:28:37Z,194816,0.987898199999999949,0.000607499999999999967,5.34649999999999981,64.1600999999999999,262.419300000000021,308.552500000000009,0,999,6810,0,-6.09999999999999983e-07,0,2414564,0 ECHOSTAR 6,1 26402U 00038A   19052.76987494 -.00000061 +00000-0 +00000-0 0  9994,2 26402 005.3465 064.1601 0006075 262.4193 308.5525 00.98789820068106,2000-038A,26402,42585.364999999998,1457.6400000000001,36233.1010000000024,36181.3589999999967
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,10095,COSMOS 921,PAYLOAD,U,77055A,2019-02-21T18:29:01Z,938912,14.9184823200000007,0.00381009999999999986,75.8332999999999942,290.399800000000027,359.119799999999998,0.992099999999999982,0,999,25573,8.84529999999999983e-06,6.89999999999999958e-07,0,2414108,0 COSMOS 921,1 10095U 77055A   19052.77016133  .00000069  00000-0  88453-5 0  9992,2 10095  75.8333 290.3998 0038101 359.1198   0.9921 14.91848232255730,1977-055A,10095,6970.3090000000002,96.5240000000000009,618.731999999999971,565.616999999999962
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,41986,FLOCK 3P 36,PAYLOAD,U,17008AQ,2019-02-21T18:29:10Z,243680,15.2506585099999992,0.000757399999999999979,97.4214999999999947,121.000900000000001,183.43010000000001,176.688600000000008,0,999,11146,4.35829999999999993e-05,1.01800000000000008e-05,0,2414094,0 FLOCK 3P 36,1 41986U 17008AQ  19052.77025745  .00001018  00000-0  43583-4 0  9995,2 41986  97.4215 121.0009 0007574 183.4301 176.6886 15.25065851111467,2017-008AQ,41986,6868.72400000000016,94.421999999999997,495.791999999999973,485.387
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,17584,COSMOS 1829,PAYLOAD,U,87026C,2019-02-21T18:29:40Z,600320,12.6264190099999993,0.000133200000000000012,82.5730999999999966,140.631499999999988,120.878100000000003,1.46999999999999997,0,999,47213,0.000100879999999999996,2.89999999999999976e-07,0,2414564,0 COSMOS 1829,1 17584U 87026C   19052.77060880 +.00000029 +00000-0 +10088-3 0  9992,2 17584 082.5731 140.6315 0001332 120.8781 001.4700 12.62641901472130,1987-026C,17584,7790.19499999999971,114.046000000000006,1413.09799999999996,1411.02299999999991
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,42040,FLOCK 3P 13,PAYLOAD,U,17008CW,2019-02-21T18:30:11Z,407968,15.2556633099999992,0.000661600000000000035,97.4207999999999998,121.101200000000006,205.444700000000012,154.646600000000007,0,999,11131,8.97989999999999986e-05,2.20700000000000005e-05,0,2414150,0 FLOCK 3P 13,1 42040U 17008CW  19052.77096537  .00002207  00000-0  89799-4 0  9994,2 42040  97.4208 121.1012 0006616 205.4447 154.6466 15.25566331111311,2017-008CW,42040,6867.22199999999975,94.3910000000000053,493.629999999999995,484.543999999999983
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,42002,FLOCK 3P 67,PAYLOAD,U,17008BG,2019-02-21T18:30:19Z,927008,15.2587540300000004,0.000719400000000000031,97.4204000000000008,121.245699999999999,198.906399999999991,161.190799999999996,0,999,11216,9.23079999999999978e-05,2.29200000000000008e-05,0,2414104,0 FLOCK 3P 67,1 42002U 17008BG  19052.77106397  .00002292  00000-0  92308-4 0  9992,2 42002  97.4204 121.2457 0007194 198.9064 161.1908 15.25875403112163,2017-008BG,42002,6866.29500000000007,94.3719999999999999,493.09899999999999,483.220000000000027
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,16199,COSMOS 1700,PAYLOAD,U,85102A,2019-02-21T18:32:27Z,412800,1.0024083800000001,5.47000000000000014e-05,13.8415999999999997,341.068699999999978,83.8922000000000025,65.8555999999999955,0,999,12487,0,7.00000000000000048e-08,0,2414564,0 COSMOS 1700,1 16199U 85102A   19052.77253950 +.00000007 +00000-0 +00000-0 0  9994,2 16199 013.8416 341.0687 0000547 083.8922 065.8556 01.00240838124871,1985-102A,16199,42173.4089999999997,1436.53999999999996,35797.5809999999983,35792.9669999999969
